title,description,authors,publisher,published_date,categories,ratings_count
F. Holland Day: Suffering the Ideal,"The short-lived career of nineteenth-century photographer F. Holland Day is the basis for this important historical monograph. Though he is perhaps best known for his controversial ""sacred subjects"" in which he posed himself as Jesus Christ, Day quickly moved to the forefront of American photography with his portraiture and his later mythological series. Day was probably the first great photographer of the male nude. A friend of Oscar Wilde and an early proponent of gay rights, women's rights, a","Fred Holland Day, James Crump",Twin Palms Pub,1995,Photography,0
A grammar of the Latin language: For the use of colleges and seminaries,,Carl Gottlob Zumpt,,1829,Latin language,0
"Aikman: Mind, Body & Soul","This inside story, in pictures, words, and thoughts by Troy Aikman, will bring a better understanding of the immense popularity of America's most successful football teams and one of the best players of the game. The Dallas Cowboys are America's team and Aikman is the personification of this legendary team.",Troy Aikman,,1998,Football players,0
The City of Women: A Sequence of Poems and Prose,"""Beautifully rendered.... Santos's greatest accomplishment here is not that he provides answers for the unanswerable, but that he convinces readers that love creates words whose syllables we are laved in, / Whose meanings keep endlessly coming to pass. Publishers Weekly""",Sherod Santos,W. W. Norton,1994-04-01,,0
Peter Graves,"Loaded with new Peter Graves features. This book is your ultimate resource for Peter Graves. Here you will find the most up-to-date 141 Success Facts, Information, and much more. In easy to read chapters, with extensive references and links to get you to know all there is to know about Peter Graves's Early life, Career and Personal life right away. A quick look inside: Guilty Pleasures (Barbra Streisand album) - Personnel, Death Car on the Freeway, Golden Globe Award for Best Actor - Television ",Nathan Hickman,Emerge Publishing Group Llc,2014-07-09,Biography & Autobiography,0
The ABC's of Picture-Taking Ease with the Canon AE-1 and/or AV-1 Cameras,,"Dale R. Wright, Kazuhiro Yato",,1980,Canon camera,0
Hidden Face of Eve: Women in the Arab World,"This powerful account of the oppression of women in the Muslim world remains as shocking today as when it was first published, more than a quarter of a century ago. Nawal El Saadawi writes out of a powerful sense of the violence and injustice which permeated her society. Her experiences working as a doctor in villages around Egypt, witnessing prostitution, honour killings and sexual abuse, including female circumcision, drove her to give voice to this suffering. She goes on explore the causes of","Nawal El Saadawi, Nawāl Saʻdāwī",Zed Books,2007-06,Social Science,3.0
Easy-to-Sew Playful Toys: 25 Soft Toys with Interactive Fun,"Children of any age will love these soft toys with surprises! &break;&break;A lively ostrich whose neck ring turns her into a ring-toss game, an adorable puppy with hidden pocket for storing treasures, and a cute bunny that magically appears out of a head of lettuce are sure to bring smiles to the whole family. These colorful and fun-to-make toys are designed for anyone with basic sewing skills, and kids can even help with some of the easier projects. Many of the over 20 features projects are ba",Debra Quatermain,Krause Publications,2004-10-25,Crafts & Hobbies,1.0
"Residential Care Services for the Elderly: Business Guide for Home-Based Eldercare (Monograph Published Simultaneously As the Journal of Housing for the Elderly , Vol 8, No 2)","As the elderly population continues to increase, the need for suitable housing will continue to rise as well. This handbook is designed to help individuals and families determine the feasibility of starting a small home business providing residential home services for one or more elderly persons. Persons interested in starting a business of this type will find this unique book a goldmine of important information. Residential Care Services for the Elderly is a valuable decision-making tool which ",Doris K. Williams,Psychology Press,1991,Political Science,0
The New American Bible For Catholics Large Print Edition Large Print Edition,"Featuring large, readable print, this beautiful Catholic Bible features Smyth-sewn binding, cross-references and thousands of study notes. With the easy-to-read Comfort Print typeface, exclusively designed for the NAB, this is one of the most readable editions of the Catholic Scriptures available--ideal for Mass and personal study. Features include: Complete Catholic Bible, including the Deuterocanonical books Up-to-date revisions by scholars covering the latest findings in archeology and biblic",Catholic Bible Catholic Bible Press,Catholic Bible Press,2020-10-06,,0
Unit Origami: Multidimensional Transformations,"With more than 250 projects of many different types and levels of difficulty, this bestselling, encyclopedic work contains traditional and modern paper-folding methods, and includes folds for the beginner and works calculated to challenge the experts.",Kunihiko Kasahara,,1998,Cooking,0
Effortless Beauty,"These fabulous-looking books offer practical advice on how to make the most of yourself. There is a book for each of the four main beauty areas--looking after your body and keeping healthy, then progressing onto advice on how to maintain sensational hair, followed by tips and expert advice on how to keep your face looking gorgeous all year round and then finally, a book with professional secrets for makeup.",Susie Galvez,Spruce Books,2004,Health & Fitness,0
Family Fun in Montana,"Details to over 400 family-friendly sites throughout Montana that showcase the nature, history, science, and culture of the state.",Chris Boyd,Falcon Guides,1998,Travel,0
Garden's Corner: A Novel,"Little Speedy Copeland leaves Brooklyn to search for, and make peace with, his best friend after Jamal unexpectedly leaves the city while Speedy is recovering from a violent episode which left the Generation X'er with only limited use of his legs. Speedy's extraordinary adventure leads him to Garden's Corner, South Carolina, as he tries to overcome both his physical paralysis and the paralysis of the human spirit as well.",Douglas S. Reed,,1997,Fiction,0
Gullah Images: The Art of Jonathan Green,"Paintings, magisterial and universal, that capture the essence of a vibrant African American community In his art Jonathan Green paints the world of his childhood and an ode to a people imbued with a profound respect for the dignity and value of others—the Gullah people of the South Carolina barrier islands. His canvases, beloved for their sense of jubilation and rediscovery, evoke the meaning of community in Gullah society and display a reverence for the rich visual, oral, and spiritual traditi",,Univ of South Carolina Press,2020-05-22,Art,0
What Is to Be Done?: Burning Questions of Our Movement,,Vladimir Ilʹich Lenin,International Pub,1969,Political Science,0
"A Bohemian Brigade: The Civil War Correspondents Mostly Rough, Sometimes Ready","Reveals how journalists during the Civil War would acquire information, and discusses the impact of the free press on the opposing armies of the period.","James M. Perry, Perry (James M.)",John Wiley & Sons Incorporated,2000-03-27,History,0
A summer's worth of shame: A novel,"Though Thad has always enjoyed previous summers at the beach, this year everything is overshadowed by the shame he feels over his father's being in prison.",Colby Rodowsky,Franklin Watts,1980,Fathers and sons,0
Growing Pains: The Autobiography of Emily Carr,"This autobiography by Emily has been called ""probably the finest... in a literary sense, ever written in Canada."" Completed just before Emily Carr died in 1945, Growing Pains tells the story of Carr’s life, beginning with her girlhood in pioneer Victoria and going on to her training as an artist in San Francisco, England and France. Also here is the frustration she felt at the rejection of her art by Canadians, of the years of despair when she stopped painting. She had to earn a living, and did ",Emily Carr,D & M Publishers,2009-12-01,Fiction,1.0
Interpreters,"Software engineers use programming languages every day, but few of us understand how those languages are designed and implemented. Crafting Interpreters gives you that insight by implementing two complete interpreters from scratch. In the process, you'll learn parsing, compilation, garbage collection, and other fundamental computer science concepts. But don't be intimidated! Crafting Interpreters walks you though all of this one step at a time with an emphasis on having fun and getting your hand",Robert Nystrom,,2021-07-27,,0
Living on Purpose: Finding God's Best for Your Life,"Women's lives are more hectic today than ever; the demands of child rearing, work, ministry, and marriage can drain women of energy and enthusiasm. What they need is order; they need a plan for prioritizing what's important and sticking to it. Lysa TerKeurst has created Living Life on Purpose to answer this obvious need. It is a Bible study that helps women design a life plan based on seven main principles of the Proverbs 31 woman. Upon completion of this study, a woman will have goals to work t",Lysa M. TerKeurst,Moody Publishers,2000-10-01,Religion,1.0
Get Fit Through Power Walking!,,Becky Youman,,2003,,0
Gruber's Complete Preparation for the SAT,,Gary R. Gruber,,1987-08-01,SAT (Educational test),0
The Medici Conspiracy: The Illicit Journey of Looted Antiquities--From Italy's Tomb Raiders to the World's Greatest Museums,"The story begins, as stories do in all good thrillers, with a botched robbery and a police chase. Eight Apuleian vases of the fourth century B.C. are discovered in the swimming pool of a German-based art smuggler. More valuable than the recovery of the vases, however, is the discovery of the smuggler's card index detailing his deals and dealers. It reveals the existence of a web of tombaroli—tomb raiders— who steal classical artifacts, and a network of dealers and smugglers who spirit them out o","Peter Watson, Cecilia Todeschini",PublicAffairs,2007-06-12,Art,2.0
Russian Business Dictionary,,Peace Corps (U.S.),,1997,Commerce,0
The Divine Light Invocation: A Spiritual Practice for Healing and for Realizing the Light Within,,Sivananda Radha,,1990,Light,0
"The compleat angler, (The modern library of the world's best books, 26.2)","Vervolg op 'De koning moet sterven'. De legendarische koning Theseus streeft naar een uitbreiding van de macht van zijn koninkrijk, maar ziet zich gedwarsboomd door de goden.",Mary Renault (pseud. van Eileen Mary Challans),,1962,,0
THE PHILOSOPHY OF SPINOZA.,"Selections usually need no justifications. Some justification, however, of the treatment accorded Spinoza's Ethics may be necessary in this place. The object in taking the Ethics as much as possible out of the geometrical form, was not to improve upon the author's text; it was to give the lay reader a text of Spinoza he would find pleasanter to read and easier to understand. To the practice of popularization, Spinoza, one may confidently feel, would not be averse. He himself gave a short popular",Joseph Ratner,Jovian Press,2018-01-19,Psychology,0
The Cloister Walk,"A NEW YORK TIMES BESTSELLER AND NEW YORK TIMES NOTABLE BOOK OF THE YEAR “Vivid, compelling... An embrace of moral and spiritual contemplation.” –The New York Times “A remarkable piece of writing. If read with humility and attention, Kathleen Norris's book becomes lectio divina, or holy reading.” –The Boston Globe From the iconic author of Amazing Grace: A Vocabulary of Faith, a spiritual journey that brings joy to the meanings of love, grace and faith. Why would a married woman with a thoroughly",Kathleen Norris,Penguin,1997-04-01,Religion,16.0
Good Night: The Sleep Doctor's 4-Week Program to Better Sleep and Better Health,"A WebMD sleep consultant draws on cutting-edge information to present an accessible reference to sleeping well, citing the role of sleep deprivation in such health concerns as poor eating, aging, and growth, in a resource that outlines a twenty-eight-night program for addressing short-term sleep problems.",Michael Breus,Dutton Adult,2006,Health & Fitness,1.0
Ramona: A story,,Helen Hunt Jackson,,2019,,4.0
Clipperton: A History of the Island the World Forgot,,Jimmy M. Skaggs,Walker & Company,1989-01-01,History,0
"The Biopsychosocial Approach: Past, Present, Future","The biopsychosocial perspective involves an appreciation that disease and illness do not manifest themselves only in terms of pathophysiology, but also may simultaneously affect many different levels of functioning, from cellular to organ system to person to family to society. This approach provides a better understanding of disease processes as encompassing multiple levels of functioning including the effect of the physician-patient relationship.","Richard M. Frankel, Timothy E. Quill, Susan H. McDaniel",University Rochester Press,2003,Psychology,0
A Serial Killer: David Berkowitz Son of Sam/Son of Hope,,Steve Cender,,2001-02-01,,0
Hold My Hand and Run,"Kazy Clare has had enough. She, and her little sister Beth, are being tormented by their cruel Aunt, who has been sent to look after them following the death of their mother. Their father is so grief stricken by his loss that he is blind to the mistreatment going on around him. But Kazyknows that things have got to change. She has to save Beth from the beatings and abuse, so she decides to run away and take Beth with her. But it will take all her courage and strength to keep them safe. And, once",Margaret McAllister,,2002,Child abuse,1.0
The Martin Luther Christmas Book,"Martin Luther's conception of the Nativity found expression in sermon, song, and art. This beautiful new gift edition of a classic collection combines all three. In thirty compelling Christmas excerpts from his sermons, Luther vividly portrays the human realism of the Nativity: Mary's distress at giving birth with no midwife or water; Joseph's misgivings; the Wise Men's perplexity; and Herod's cunning. Throughout, Luther suggests the question: If we had lived in Bethlehem when Jesus was born, wo","Martin Luther, Roland Herbert Bainton",Augsburg Books,1997,Religion,1.0
Holiness for ordinary people (Aldersgate doctrinal series),,Keith W. Drury,,1985,Holiness,0
The Twilight of the U.S. Cavalry (Modern War Studies),Lucian Truscott takes the reader back in this military memoir to the days of the horse cavalry in American history.,Lucian K. Truscott,,1989,History,0
The Hero in History,,Sidney Hook (Philosoph),,1945,Heroes,0
"Towles' portrait lightings,: A practical method for making photographic lightings,",,William H Towles,,1925,Portrait photography,0
The Edge,"DWDD-BOEK VAN DE MAAND NOVEMBER 2014 Dat de middeleeuwen geen lege donkerte tussen het Romeinse Rijk en de renaissance waren, wisten we al langer. Maar nooit slaagde iemand erin het rijke middeleeuwse leven zo dichtbij te brengen als Michael Pye. Hij beschrijft hoe volkeren rond de Noordzee de eerste grote stappen zetten richting ons hedendaagse monetaire systeem, een rechtvaardige justitie, de moderne wetenschap, een opener visie op liefde en seks. Door overzees contact konden deze ideeën zich ",Michael Pye,"Bezige Bij b.v., Uitgeverij De",2014-11-29,History,1.0
The Waite Group's Master C/Book and 4 Disks,No background in C is required to learn to program in C++ with this innovative computer-based training system. -- Covers everything needed for writing OOP programs -- Goes over the fundamentals of C that are common to C++ -- Monitors progress like a patient teacher -- Teaches object-oriented programming and the C++ language syntax quickly and efficiently,"Rex Woollard, Harry Henderson, Robert Lafore",Wait Groupe Press,1992,Computers,0
Xenakis,"The music of the Greek-born composer, Iannis Xenakis, has been called brutal and violent. He first studied as an architect, but then turned to composition and put to musical use his knowledge of higher mathematics. In these conversations he talks about his life and music.",Bálint András Varga,,1996,Music,0
The On-Line Bible,"Love On Line By: Shelia Kinneer Robb Shelia lives in Kentucky, divorced and 76 years old. Paul lives in California, widowed and 80 years old. Both are devout Christians. Both are looking for something more in their lives. Thanks to a website called Christian Singles, they both find it. It begins with a simple, one-line email, but it soon blossoms into a relationship that grows more special on a daily basis. Will the 2,000 miles that separate them in the real world keep them apart, or will they f",Shelia Kinneer Robb,Dorrance Publishing,2018-03-19,Biography & Autobiography,0
The Basic Newbury House Dictionary of American English,"HEINLE'S NEWBURY HOUSE DICTIONARY focuses on what English language learners need and want to know. To help students build their vocabulary and increase their reading, writing, listening, and speaking skills, HEINLE'S NEWBURY HOUSE DICTIONARY includes: 1) a Learner's Dictionary, 2) an Integrated Thesaurus, 3) a Brief Writer's Handbook, 4) a Built-in Activity Guide, and 5) an Interactive Pronouncing CD-ROM.",Philip M. Rideout,Heinle & Heinle Pub,2004,Reference,0
"My Daddy the Duke (Harlequin American Romance, No. 735)","The cowboy is about to be a daddy! What happened to the Determined Bachelor of Cactus, Texas? Melanie Rule, that's what! Once Spence Hauk discovered that their one night of passion was about to produce a baby in a few months, he found himself happily anticipating miniature boots and diapers. For Spence, there was only one course of action: marriage. Spence aimed to bring his child into the world with a daddy. Now all he had to do was convince the mommy. But he had no idea that Melanie had her ow",Judy Christenberry,Harlequin,2011-07-15,Fiction,0
Lights Out,"The relationship between light, sleep, and human health is revealed in this groundbreaking study, which explores the links between infertility, weight-gain, sex drive problems, depression, and other health ailments with a lack of sleep. Reprint.","T. S. Wiley, Bent Formby",Simon and Schuster,2001-02-27,Health & Fitness,3.0
Bioinformatics and Functional Genomics,"The bestselling introduction to bioinformatics and genomics – now in its third edition Widely received in its previous editions, Bioinformatics and Functional Genomics offers the most broad-based introduction to this explosive new discipline. Now in a thoroughly updated and expanded third edition, it continues to be the go-to source for students and professionals involved in biomedical research. This book provides up-to-the-minute coverage of the fields of bioinformatics and genomics. Features n",Jonathan Pevsner,John Wiley & Sons,2015-10-26,Science,0
Under Camelot's Banner,"A maiden fights to bring peace to Arthurian England in this romantic fantasy from an award-winning author. Love finds a way in this epic series featuring swords, sorcery, and the women of Camelot. The daughter of the steward of Cambryn, Lynet has seen the damage that following one’s heart can do. Now the threat of war looms over her land. Desperately searching for a way to restore peace to her home and honor to her family, Lynet and her sister decide that Lynet will seek the help of the last hei",Sarah Zettel,Open Road Media,2019-04-09,Fiction,0
What Night Forgets,,Don Yorty,,2000,Americans,0
Not Quite as Advertised (Flipside),"This exciting drama puts a contemporary twist on a trio of traditional European folk tales. Together they explore the drama and tragedy of human relationships, the dangers of judging by appearances, and the importance of finding the truth about those around you.","Andrew Fusek Peters, Polly Peters",Evans Brothers,2008,Juvenile Fiction,0
Art and Intimacy: How the Arts Began (McLellan Books),"To Ellen Dissanayake, the arts are biologically evolved propensities of human nature: their fundamental features helped early humans adapt to their environment and reproduce themselves successfully over generations. In Art and Intimacy she argues for the joint evolutionary origin of art and intimacy, what we commonly call love. It all begins with the human trait of birthing immature and helpless infants. To ensure that mothers find their demanding babies worth caring for, humans evolved to be lo",Ellen Dissanayake,University of Washington Press,2015-08-17,Art,0
Hoaxes (The Unexplained),"A look at some of history's most famous hoaxes and publicity stunts, including fairy photographs, moon-men, lost tribes, and crop circles.",Judith Herbst,Lerner Publications,2004-09-01,Juvenile Nonfiction,0
"Democracy and education;: An introduction to the philosophy of education, (Text-book series)",,John Dewey,,1916,Education,2.0
Jude the Obscure,"Jude Fawley is a rural stone mason with intellectual aspirations. Frustrated by poverty and the indifference of the academic institutions at the University of Christminster, his only chance of fulfilment seems to lie in his relationship with his unconventional cousin, Sue Bridehead.",Thomas Hardy,Wordsworth Editions,1995,Fiction,1.0
The Evil of Evils: The Exceeding Sinfulness of Sin (Puritan Writings),"The Evil of Evils, first printed in 1654, consists of sixty-seven short chapters that expose sin and urge believers to choose affliction over sin. Burroughs organizes his material around seven major thoughts: (1) there is more evil in the least sin than in the greatest affliction; (2) sin and God are contrary to each other; (3) sin is directly against our good; (4) sin opposes all that is good; (5) sin is the evil of all other evils; (6) sin has infinite dimension and character; and (7) sin make",Jeremiah Burroughs,Soli Deo Gloria Ministries,1992,Religion,1.0
Percy Bysshe Shelley: Selected Poems,"Percy Bysshe Shelley was one of the leading English Romantics and is critically regarded among the finest lyric poets in the English language. His major works include the long visionary poems “Prometheus Unbound” and “Adonais,” an elegy on the death of John Keats. His shorter, classic verses include “Ozymandias,” “To a Skylark,” “Mont Blanc,” and “Ode to the West Wind.” This comprehensive and informative new edition collects his best poetry and prose, revealing how his writings weave together th",Percy Bysshe Shelley,Penguin,2017-01-31,Poetry,0
A History of the Warfare of Science with Theology in Christendom,,Andrew Dickson White,,1896,Religion and science,0
The Mirror for Magistrates,"H i I 41 1 ffje jWtrror for f EDITED from ORIGINAL TEXTS in the HUNTINGTON LIBRARY by LILY B. CAMPBELL I I I I 1 BARNES NOBLE, INC. . NEW YORK PUBLISHERS . BOOKSELLERS . SINCE 1873 Published in 1938 by the Cambridge University Press Reprinted by Barnes Noble, Inc. by Special Arrangement with the Cambridge University Press All rights reserved First printing, 1960 PRINTED IN THE UNITED STATES OF AMERICA Contents Introduction pages 3-60 Tragedies of the 1559 Edition 61-240 Prefaces to the 1559 Edit",Lily B. Campbell,Masterson Press,2008-11,Biography & Autobiography,0
Duet,"Hij is een onstuimige violist uit Boston, zij is een Nederlandse onderzoeker aan het Centrum voor Joodse Geschiedenis in Manhattan. Samen beginnen ze aan een nieuw avontuur. Ilse vaart met haar partner in een oude woonboot met de naam Duet op de Hudson, met als eindbestemming de haven van New York. En ze is zwanger van hun kind. Ze zou op een roze wolk moeten zitten, maar overgeleverd aan de wetten van het water en de realiteit van de gammele woonboot met haar bevroren leidingen, blijkt de werke",Ilse Lazaroms,Uitgeverij Cossee,2021-09-02,Fiction,0
The Journeys of Remarkable Women: Their Travels on the Canadian Frontier (North American Heritage Series),"These brief biographies include a duchess, Queen Victoria's maid of honour, a governor's wife, a radical social reformer, a botanist, Louis Riel's grandmother, fur traders, a woman who masqueraded as a man. They lived in sod huts, log cabins, Government House and Klondike mining camps.-- Intro.",Les Harding,"Kitchener, Ont. : Upney Editions",1994,History,0
"Shunga, images of spring;: Essay on erotic elements in Japanese art",,Charles Grosbois,,1966,"Art, Japanese",0
Herbal Prescriptions for Better Health,"In this insightful book, Dr. Donald Brown, a naturopathic doctor and expert in medicines, discusses herbal medicine with the warm, knowledgeable confidence of a caring family physician. One section introduces the various types of herbal medicine. Another focuses on the eighteen most frequently prescribed herbs--including chamomile, echinachea, garlic, ""Ginkgo biloba, ginseng, and valerian. Then, in a third section arranged by body system, Dr. Brown prescribes effective herbal treatments for doze",Donald J. Brown,Prima Lifestyles,1996,Herbs,0
Hit: Essays on Women's Rights (Classics in Women's Studies),"The only woman to receive the Congressional Medal of Honor for her service during the Civil War, Dr. Mary E. Walker (1832-1919) was a surgeon, a public lecturer, and an outspoken champion of women's rights. One of the first women in the country to be awarded a medical degree, she served as an assistant surgeon for the Fifty-second Ohio Infantry and was cited for valor in going behind enemy lines to attend to the sick and wounded. After the war she published Hit, an enigmatically titled book in w",Mary Edwards Walker,Classics in Women's Studies,2003,Political Science,0
The Psychology of Spirituality: From Divided Self to Integrated Self,"This book is written for those who ask difficult questions: What is the nature of human reality? What is the purpose of human life? What is love? What is reality? What is the secret of happiness? Do we have free will? Is transcendence real? Through case histories, in-depth analyses, and practical examples, the book offers new ways of addressing these and other important questions. 'The Psychology of Spirituality' demonstrates that life can, in fact, be good, happy and fruitful, and that we human",Hossain B. Danesh,Sterling Publishers Pvt. Ltd,2000-01-01,Psychology,0
When I Don't Desire God: How to Fight For Joy,"In this 10th anniversary edition, Piper offers us practical encouragement for holding onto the only source of true and lasting joy: God himself. Redesigned with an updated cover and new preface.",John Piper,,2013-09-30,Religion,3.0
Circulating Being: From Embodiment to Incorportation (Perspectives in Continental Philosophy),"Existentialism has come to be identified as a critical, reactionary way of thinking, celebrating the individual, freedom, embodiment, and the limits of rationality and systematic theorizing. For the most part this assessment is true of the early and, by now, ""classical"" works of existentialism, those that first burst upon the philosophical and cultural scene. Circulating Being centers on the later works of several well-known French existentialists (Camus, Marcel, Sartre, Merleau-Ponty) to trace ",Thomas Busch,,1999,PHILOSOPHY,0
"Wah-to-yah and the Taos Trail or, Prairie travel and scalp dances, with a look at los rancheros from muleback and the Rocky Mountain campfire.","First hand narrative of overland travel along the Sante Fe Trail to Bent's Fort, Colorado and then on to Taos, New Mexico. This book is supposedly the only eye witness account of the trials and hangings of the revolutionaries who attempted to overthrow the newly acquired American occupancy in Taos by murdering Govenor Charles Bent and several others.",Lewis H. Garrard,University of Oklahoma Press,1972-06-01,History,0
The Bantam Step-by-Step Book of Needle Craft,STEP-BY-STEP INSTRUCTIONS ON EVERYTHING FROM BASIC SEWING TO KNITTING AND CROCHET.,Judy Brittain,,1979,Needlework,2.0
"James Thurber: a bibliography,","The life of James Thurber (1894-1961) touched many representative areas of the American twentieth century; and in the course of working in and with and for (and sometimes against) the several worlds he at various times inhabited, he produced a body of work that is as impressive in its variety as in its quantity. Mr. Bowden has provided a bibliography of all known and authentic Thurber items: newspaper stories, columns, and feature articles; short humorous pieces of the kind the New Yorker has de",Edwin T. Bowden,[Columbus] : Ohio State University Press,1969,Literary Criticism,0
The Merchants of Venus: Inside Harlequin and the Empire of Romance,,Paul Grescoe,Raincoast Books,1997-09-01,Business & Economics,0
Down Thunder Road The Making of Bruce Springsteen,"An unauthorized biography of Springsteen describes his troubled childhood; rise to fame; treatment of roadies, band members, and girlfriends; business affairs; and personal relationships",Marc Eliot,Touchstone,1993-09,Biography & Autobiography,0
Bread and Wine (Greatest Books of the 20th Century),"This bibliography lists English-language translations of twentieth-century Italian literature published chiefly in book form between 1929 and 1997, encompassing fiction, poetry, plays, screenplays, librettos, journals and diaries, and correspondence.",Robin Healey,University of Toronto Press,1998-01-01,Literary Criticism,0
School Violence (Reference Shelf),"This quick-start guide pinpoints the best resources on hot research topics for high school and junior college students. Topics ranging from abortion and animal rights to drug use are accessed through 99 suggested ""starting-point"" titles, then further through ideas for effectively using specific reference books, online databases, Internet sites, and applicable subject headings of the online public access catalog. Grades 9 to adult.","Peggy Whitley, Catherine Olson, Susan Williams Goodwin",Libraries Unlimited,2001,Education,0
"Social Identity: An Introduction - Context, Commitment, Content","Social identity has been at the heart of European experimental social psychology for the past 25 years, and has been of growing interest in North America during the past decade where research in the field has expanded significantly. This text fills the need for an overview of recent developments in social identity theory, covering both theoretical and empirical work.","Naomi Ellemers, Russell Spears, Bertjan Doosje",Wiley-Blackwell,1991-01-16,Psychology,0
The Silver Sword,"Discover this amazing adventure story set in the Second World War 'If you meet Ruth or Edek or Bronia, you must tell them I'm going to Switzerland to find their mother. Tell them to follow as soon as they can’ Having lost their parents in the chaos of war, Ruth, Edek and Bronia are left alone to fend for themselves and hide from the Nazis amid the rubble and ruins of their city. They meet a ragged orphan boy, Jan, who treasures a paperknife - a silver sword - which was entrusted to him by an esc",Ian Serraillier,Random House,2012-08-02,Young Adult Fiction,24.0
The world of ancient man,Provides detailed information on the world of ancient people and their ways of life.,,,2007,Prehistoric peoples,0
"The mirror of the sea,","The Mirror of the Sea offers, in Conrad's own words, ""a very intimate revelation...of my relation with the sea."" This imaginative piece of non-fiction passionately explores ships and their captains, storms, oceans, and all other aspects of a sea-going life that Conrad experienced for twenty years. A Personal Record, Conrad's autobiography, provides invaluable insight into the thoughts of a writer whose experience of repression in Poland and whose love and knowledge of the sea formed a basis for ",Joseph Conrad,"Oxford University Press, USA",1988,"Novelists, English",0
Cuzco Region of Peru - Machu Picchu Map by ITMB (Travel Reference Map),,,,2003,Maps,0
JAVA: The True Story of a Shelter Dog Who Rescued a Woman,,Stacy J. Lewis,,2006-01-01,Dog adoption,0
The Miami Herald Report: Democracy Held Hostage,"After one of the closest elections in U.S. history, the attention of American people shifted to Florida, the fourth most populous state in the Union, and one of the most diverse, divided, and fastest growing: its 25 electoral votes could have put either candidate into the White House. The Miami Herald Report finally provides the answers that Americans have been demanding since the night of Novemeber 7, 2000. Including: * The inside stories of Florida Secretary of State Katherine Harris and Palm ","Martin Merzer, Miami Herald Staff",St. Martin's Press,2001-06-02,Political Science,0
Arabic Phrase Book (DK Eyewitness Travel Guide),Includes a brief French and Moroccan-Arabic phrase book reference.,,DK Eyewitness Travel,2017-02-21,Travel,0
On the Narrow Road: A Journey into Lost Japan,"Retracing the steps of revered Japanese poet Matsuo Basho's eight-hundred mile journey, the author explores the possibilities of a simpler older way of life still existing in a modernized Japan three hundred years later",Lesley Downer,,1989,Biography & Autobiography,1.0
Japanese for Everyone: A Functional Approach to Daily Communication,"Originally published in 1990, this acclaimed language-instruction text is recognized as one of the most user-friendly and effective programs available - both for classroom use and self-study. Based on a notional-functional approach, which emphasizes the social purpose of language, Japanese for Everyone takes the absolute beginning student to a level where he or she can communicate well in everyday situations. Because the world has seen such dramatic changes since the book's publication, Japanese",Susumu Nagara,Japan Publications Trading,2008,Japanese language,1.0
Abandon (Sonnet Books),"Just when Rose thinks things are looking up, the winter holiday takes a sudden and dark turn. Wes decides to move forward with his plans, and the city of Polaris finds itself in grave danger. One tragic event seems to trigger another until several problems arise within the group. Everyone struggles to battle their inner demons, though its nearly impossible on their own. Relying on others isnt easy, yet individuals are forced to lean on one another and learn valuable life lessons. Rose does her b",Finn,Xlibris Corporation,2017-12-26,Fiction,0
Theo,"Begin december 2013 wist Marcel van Roosmalen het zeker: Vitesse ging landskampioen worden. Voor de laatste keer observeerde hij een seizoen lang de hoofdrolspelers in het tragikomische toneelstuk dat Vitesse heet. Kampioen werd de club niet. Integendeel. Het laatste bedrijf eindigde in mineur, met het afscheid van de legendarische middenvelder Theo Janssen en de onvolprezen persvoorlichter Ester Bal. Marcel van Roosmalen schrijft voor onder meer nrc.next, Hard Gras en de vara-gids. Zijn Hard Gr",Marcel van Roosmalen,VI Boeken,2014-08-09,Sports & Recreation,0
Hippocrene Polish Children's Picture Dictionary: English-Polish/Polish-English,"Examines the geography, history, economy, society, and culture of Poland.",Sean McCollum,Lerner Publications,2009,Juvenile Nonfiction,0
The intellectuals and McCarthy: The radical specter,An important study on the way Joseph McCarthy transformed political thinking.,Michael Paul Rogin,Cambridge (Mass.) : M.I.T. Press,1967,Intellectuals,1.0
The family under the bridge,"An old tramp, adopted by three fatherless children when their mother hides them under a bridge on the Seine, finds a home for mother and children and a job for himself.",Natalie Savage Carlson,,1958,Families,13.0
Light from Heaven (The Mitford Years #9),"Father Tim takes on a new challenge in this inspirational installment in the beloved Mitford series by the #1 New York Times bestselling author of Bathed in Prayer. Father Tim Kavanagh has been asked to “come up higher” more than once. But he’s never been asked to do the impossible—until now. The retired Episcopal priest takes on the revival of a mountain church that’s been closed for forty years. Meanwhile, in Mitford, he’s sent on a hunt for hidden treasure, and two beloved friends are called ",Jan Karon,Penguin,2008-04-25,Fiction,17.0
From Parts Unknown,"Once again proving that no subject matter is beyond his poetic grasp, Michael Holmes now takes on the carnivalesque world of professional wrestling. With humour and bone-cracking language, Parts Unknown bridges the artificial trenches that established cultural endeavours have dug between themselves and their ''lowbrow'' athletic neighbours. These high-flying poems strut to their own music and enter the literary ring ready to rumble.",Michael Holmes,Insomniac Press,2009-10-05,"Quant, Russell (Fictitious character)",0
"The banner of blue,",,Angus Macpherson,,1865,,0
Healing Through Love,,Ulrich Rathgeber,,2022-07,,0
